user,video,startingTime,endTime,N,firstFrame,lastFrame,avTsampling,avFsampling
5,Timelapse,0.0,59.927363,11345,1.0,1799.0,0.005282270868223887,189.31251822310284
5,Venice,0.0,71.920347,15457,0.0,1799.0,0.004652930516917901,214.91831789966196
6,Diving,0.0,60.027041,11064,0.0,1799.0,0.005425437545191612,184.31693143095293
6,Paris,0.0,36.674213,1500,2.0,2199.0,0.024449475333333335,40.90067317872642
6,Rollercoaster,0.0,63.363275,11341,0.0,1899.0,0.005587097698615643,178.98380410419125
6,Timelapse,0.0,59.925534,10934,1.0,1799.0,0.005480659776842875,182.45978417146856
6,Venice,0.0,71.918011,14929,1.0,1799.0,0.00481733612432179,207.58360516950336
7,Diving,0.0,77.774719,3845,0.0,2099.0,0.020227495188556568,49.43765852757372
7,Paris,0.0,77.758401,2770,2.0,4199.0,0.028071624909747295,35.62316051226413
7,Rollercoaster,0.0,70.035323,3372,0.0,2099.0,0.020769668742586005,48.147132840381126
7,Timelapse,0.0,69.918862,3179,1.0,2099.0,0.021993979867882985,45.46698714861806
7,Venice,0.0,71.918845,3958,1.0,1799.0,0.01817050151591713,55.034254234755856
8,Diving,0.0,60.048394,11061,0.0,1799.0,0.005428839526263448,184.20142926720072
8,Paris,0.0,37.096136,1627,2.0,2199.0,0.022800329440688383,43.85901539718315
8,Rollercoaster,0.0,63.362735,11553,0.0,1899.0,0.005484526529905652,182.3311446388796
8,Timelapse,0.0,59.920391,10718,1.0,1799.0,0.005590631740996455,178.87066190873153
8,Venice,0.0,71.916972,14718,1.0,1799.0,0.004886327761924174,204.65266529853344
9,Diving,0.0,76.75761,3019,0.0,2099.0,0.025424845975488573,39.331605035644024
9,Paris,0.0,77.900001,2603,2.0,4199.0,0.029927007683442183,33.41463371739879
9,Rollercoaster,0.0,70.035719,2808,0.0,2099.0,0.02494149537037037,40.093826979915775
9,Timelapse,0.0,69.920847,2704,1.0,2099.0,0.025858301405325444,38.67230040848904
9,Venice,0.0,71.921628,2741,1.0,1799.0,0.026239192995257204,38.11092818977902
10,Diving,0.0,60.027203,11639,0.0,1799.0,0.0051574192800068735,193.89542437951008
10,Paris,0.0,36.682301,1618,2.0,2199.0,0.02267138504326329,44.10846527866395
10,Rollercoaster,0.0,63.363113,12368,0.0,1899.0,0.005123149498706339,195.19243001839257
10,Timelapse,0.0,59.927629,11511,1.0,1799.0,0.005206118408478846,192.08168572796365
10,Venice,0.0,71.917779,15595,1.0,1799.0,0.004611592112856684,216.8448500057267
11,Diving,0.0,60.026912,11564,0.0,1799.0,0.005190843306814252,192.6469247660116
11,Paris,0.0,36.663536,1614,2.0,2199.0,0.02271594547707559,44.02194049150087
11,Rollercoaster,0.0,60.028071,11617,0.0,1799.0,0.005167260996815012,193.52612546886607
11,Timelapse,0.0,59.926784,11641,1.0,1799.0,0.00514790688085216,194.25370799140498
11,Venice,0.0,79.918395,17366,1.0,1999.0,0.004602003627778418,217.29665617033473
12,Diving,0.0,73.04973,2942,0.0,2099.0,0.024829955812372535,40.273933935142544
12,Paris,0.0,75.933693,2763,2.0,4199.0,0.027482335504885994,36.3870093872558
12,Rollercoaster,0.0,70.030909,2959,0.0,2099.0,0.023667086515714766,42.25277155834148
12,Timelapse,0.0,69.935777,2933,1.0,2099.0,0.02384445175588135,41.93847735473076
12,Venice,0.0,71.926412,2671,1.0,1799.0,0.026928645451141896,37.13517643560477
13,Diving,0.0,76.767604,2815,0.0,2099.0,0.027270907282415633,36.6691137058283
13,Paris,0.0,81.154467,2636,3.0,4199.0,0.030786975341426402,32.48126809827979
13,Rollercoaster,0.0,70.036487,2918,0.0,2099.0,0.024001537697052773,41.66399722476086
13,Timelapse,0.0,69.943501,2768,1.0,2099.0,0.025268605852601156,39.574799093914386
13,Venice,0.0,71.906136,2706,1.0,1799.0,0.026572851441241687,37.63239343023521
14,Diving,0.0,60.027169,11541,0.0,1799.0,0.0052012103803829824,192.26294013632395
14,Paris,0.0,36.671252,1602,2.0,2199.0,0.022890918851435706,43.68544602731316
14,Rollercoaster,0.0,60.028066,11662,0.0,1799.0,0.005147321728691477,194.27579092753047
14,Timelapse,0.0,59.943481,11344,1.0,1799.0,0.00528415735190409,189.24493223875336
