experiment,user,video,startingTime,endTime,N,magQuat,avTsampling,avFsampling
0,33,8,0.0,292.079,26857,0.9999989652615731,0.010875339762445545,91.9511502025137
0,34,0,2.293,164.215,14723,0.9999973775227884,0.0109978944508592,90.92649547312904
0,34,1,0.021,201.141,18184,0.9999997091820411,0.011060272767267927,90.41368337311059
0,34,2,0.021,293.23900000000003,26268,1.0000117262856825,0.011162555200243644,89.58522328097183
0,34,3,0.0,172.577,15469,0.9999885938748506,0.0111563126252505,89.63535117657625
0,34,4,0.021,205.708,18454,0.9999979010780421,0.011145930421588816,89.71884465231152
0,34,5,0.0,655.073,58671,1.000000034230678,0.011165192343747337,89.5640638524256
0,34,6,0.021,451.12800000000004,40563,0.9999975026199586,0.011121144885733304,89.91879975260858
0,34,7,0.021,164.815,14773,0.999997839819585,0.011155080213903745,89.64525407478426
0,34,8,0.0,292.079,26805,1.0000068963459074,0.010896437231859728,91.77311617747253
0,35,0,1.7590000000000001,164.215,14647,0.9999958680577874,0.011091418037823446,90.15979711429556
0,35,1,0.021,201.141,18181,0.9999977981800432,0.011062097794400748,90.39876690533015
0,35,2,0.021,293.23900000000003,26196,0.9999898709134091,0.011193235608489846,89.3396721892926
0,35,3,0.0,172.577,15466,0.9999987788271869,0.011158476658476659,89.61796763183969
0,35,4,0.021,205.708,18427,1.000003469900769,0.011162261898301407,89.58757724114794
0,35,5,0.021,655.073,58672,1.000000055418473,0.011164644123261522,89.56846174044198
0,35,6,0.0,451.12800000000004,40577,1.0000011589979474,0.011117825369051435,89.94564735507437
0,35,7,0.0,164.815,15023,1.0000015212831799,0.010970844704785994,91.15068410035495
0,35,8,0.0,292.079,26842,1.0000006159316135,0.010881417182028164,91.89979423375183
0,36,0,0.0,164.21099999999998,14445,1.0000023735773316,0.011368016614745586,87.96609240550268
0,36,1,0.021,201.141,18163,0.9999941102182703,0.01107306061773936,90.30926809864756
0,36,2,0.0,293.23900000000003,26275,1.0000028500221836,0.011160380589914368,89.60267904337417
0,36,3,0.0,172.577,15456,1.0000017898438387,0.011165696169772256,89.56002248271787
0,36,4,0.0,205.708,18438,0.9999983926550615,0.011156741512094587,89.63190541933226
0,36,5,0.0,655.073,58637,1.0000013357135031,0.01117166635400856,89.512161240045
0,36,6,0.021,451.12800000000004,40562,1.0000004450838667,0.011121419062176422,89.91658298363802
0,36,7,0.0,164.815,15003,0.9999969729302104,0.010985469572752116,91.02933592209448
0,36,8,0.021,292.079,26782,1.0000018921695204,0.010905010828168173,91.70096350724856
0,37,0,0.021,164.215,14704,1.000002080530825,0.011166621327529925,89.55260240934503
0,37,1,0.021,201.141,18173,0.9999970900420037,0.011066967479227426,90.35898965791567
0,37,2,0.021,293.23900000000003,26254,0.999999511227077,0.011168507655976233,89.53747723536753
0,37,3,0.021,172.577,15457,1.0000092153044053,0.011163615190528563,89.57671712371635
0,37,4,0.0,205.708,18425,0.9999977303458327,0.01116461329715061,89.56870904388745
0,37,5,0.0,655.073,58672,0.9999987427415556,0.011165002045268612,89.56559039984856
0,37,6,0.021,451.12800000000004,40573,0.9999788588315497,0.011118403864639047,89.94096744231412
0,37,7,0.021,164.815,15043,0.9999930061428891,0.010954862726849698,91.2836632401665
0,37,8,0.021,292.079,26821,0.999993334165475,0.010889154021102868,91.83449862698505
0,38,0,0.0,164.205,14627,1.0000027712675243,0.011226157106720449,89.07767729362686
0,38,1,0.0,201.141,18185,1.000000535865908,0.011060819356612593,90.4092154259947
0,38,2,0.021,293.23900000000003,26270,0.9999935139789183,0.01116170536733917,89.5920441446296
0,38,3,0.021,172.577,15464,0.9999972032515373,0.011158561821003622,89.61728366443357
