classifier,datatype,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,methodtype,dataset,classlabels
RF,Quaternion,13.216157913208008,9,0.027346372604370117,0.5333333333333333,0.523348809458857,0.5268789608922904,0.5333333333333334,fbc,IMT,videos
RF,Quaternion,12.788624286651613,10,0.026859760284423828,0.5448275862068965,0.5356768826144453,0.5490535219704691,0.5448275862068965,fbc,IMT,videos
RF,Quaternion,14.893170833587645,11,0.02813196182250977,0.5471264367816092,0.5345139254118814,0.5405822373443259,0.5471264367816092,fbc,IMT,videos
RF,Quaternion,12.455413103103638,12,0.02375698089599609,0.5517241379310345,0.5464934042378922,0.5590809190809191,0.5517241379310345,fbc,IMT,videos
RF,Quaternion,12.677741289138794,13,0.0241851806640625,0.5701149425287356,0.5642786467823471,0.5725314337846549,0.5701149425287356,fbc,IMT,videos
RF,Quaternion,15.075721025466919,14,0.025731325149536133,0.5379310344827586,0.5336246179629781,0.5401327663595559,0.5379310344827586,fbc,IMT,videos
RF,Quaternion,15.221508264541626,15,0.02597498893737793,0.5333333333333333,0.5251508138899974,0.5331838692689888,0.5333333333333333,fbc,IMT,videos
RF,Quaternion,14.960321426391602,16,0.025688886642456055,0.5310344827586206,0.5268632258679541,0.5341114532056395,0.5310344827586208,fbc,IMT,videos
RF,Quaternion,12.944838285446167,17,0.03018784523010254,0.5471264367816092,0.5365072273630555,0.5499629246209274,0.5471264367816092,fbc,IMT,videos
RF,Quaternion,14.169764280319214,18,0.023359298706054688,0.535632183908046,0.5314716593839263,0.5350191434075637,0.535632183908046,fbc,IMT,videos
RF,Quaternion,14.574693202972412,19,0.023363828659057617,0.5586206896551724,0.5537491481060314,0.5562001687544622,0.5586206896551725,fbc,IMT,videos
GBM,Quaternion,76.72639393806458,0,0.010187864303588869,0.6,0.5964572565645418,0.6027579397956366,0.6,fbc,IMT,videos
GBM,Quaternion,71.62164497375487,1,0.010680198669433594,0.5770114942528736,0.57171881321363,0.5770879043272429,0.5770114942528736,fbc,IMT,videos
GBM,Quaternion,72.25589060783386,2,0.009424209594726562,0.6045977011494252,0.5976581660321271,0.5999999842794254,0.6045977011494253,fbc,IMT,videos
GBM,Quaternion,80.79332590103151,3,0.009373903274536131,0.5793103448275863,0.5738300498685349,0.5772711668765366,0.5793103448275863,fbc,IMT,videos
GBM,Quaternion,80.14301323890686,4,0.010110855102539062,0.6,0.5923314605354606,0.5972673958591888,0.6,fbc,IMT,videos
GBM,Quaternion,74.60129356384276,5,0.010767936706542969,0.6183908045977011,0.6147962354124927,0.6216853507044388,0.6183908045977012,fbc,IMT,videos
GBM,Quaternion,82.36915564537048,6,0.009353876113891602,0.6022988505747127,0.5998738650407003,0.6088068162074535,0.6022988505747127,fbc,IMT,videos
GBM,Quaternion,77.42920184135438,7,0.009348392486572266,0.6114942528735632,0.6089981749015986,0.6095644844018587,0.6114942528735632,fbc,IMT,videos
GBM,Quaternion,79.33563041687013,8,0.00939345359802246,0.5701149425287356,0.5658581078596866,0.565974394295438,0.5701149425287356,fbc,IMT,videos
GBM,Quaternion,77.04671859741211,9,0.01197218894958496,0.5954022988505747,0.5875564568513985,0.5888722985361748,0.5954022988505747,fbc,IMT,videos
GBM,Quaternion,75.9814851284027,10,0.009383678436279295,0.5517241379310345,0.5425808497613698,0.5493861235278913,0.5517241379310345,fbc,IMT,videos
GBM,Quaternion,82.72198247909544,11,0.01218891143798828,0.5540229885057472,0.5492163145238879,0.5520957836596455,0.5540229885057472,fbc,IMT,videos
GBM,Quaternion,77.23863983154297,12,0.00939655303955078,0.593103448275862,0.5873843841217847,0.5978842335925119,0.5931034482758621,fbc,IMT,videos
GBM,Quaternion,82.140545129776,13,0.00946331024169922,0.6022988505747127,0.5952666317514033,0.5983685166291526,0.6022988505747127,fbc,IMT,videos
GBM,Quaternion,79.14388251304626,14,0.009679317474365234,0.593103448275862,0.5901033584771482,0.5958707187698844,0.593103448275862,fbc,IMT,videos
GBM,Quaternion,76.04613924026489,15,0.009418964385986328,0.5839080459770115,0.5809907178087781,0.5877926316725521,0.5839080459770115,fbc,IMT,videos
GBM,Quaternion,81.63256502151489,16,0.009375810623168944,0.5885057471264368,0.5871197118756468,0.5918738737090534,0.5885057471264368,fbc,IMT,videos
GBM,Quaternion,71.52898931503294,17,0.009505510330200195,0.6160919540229886,0.6109819554618727,0.6165071896896578,0.6160919540229886,fbc,IMT,videos
GBM,Quaternion,76.87005853652956,18,0.009372234344482422,0.5471264367816092,0.5437835480407944,0.5453371218319673,0.5471264367816092,fbc,IMT,videos
GBM,Quaternion,72.31179714202881,19,0.009335994720458984,0.6045977011494252,0.5993834022566861,0.6003976010466883,0.6045977011494252,fbc,IMT,videos
KNN,Euler,0.008748531341552734,0,0.13488364219665527,0.4666666666666667,0.4593389012099088,0.4634870556135032,0.4666666666666667,fbc,IMT,videos
KNN,Euler,0.011769533157348631,1,0.10622525215148926,0.4620689655172414,0.4528657534762752,0.4660184583785135,0.4620689655172415,fbc,IMT,videos
KNN,Euler,0.00860905647277832,2,0.11502599716186525,0.5172413793103449,0.5107001712833538,0.5220361977693017,0.5172413793103449,fbc,IMT,videos
KNN,Euler,0.008509159088134766,3,0.13178491592407227,0.4873563218390805,0.48187725553047905,0.4883317598247947,0.4873563218390805,fbc,IMT,videos
KNN,Euler,0.00842142105102539,4,0.12879180908203125,0.4804597701149425,0.4757198642818186,0.4840487425168922,0.4804597701149426,fbc,IMT,videos
KNN,Euler,0.008014440536499023,5,0.11578893661499025,0.4919540229885058,0.4904297900932111,0.5012722447243034,0.4919540229885058,fbc,IMT,videos
KNN,Euler,0.011048555374145508,6,0.10876917839050293,0.4758620689655173,0.475404665393255,0.4873376623376623,0.4758620689655173,fbc,IMT,videos
